batsman,total_dismissals
"SA Yadav",1
"CR Woakes",1
"V Shankar",1
"BB McCullum",2
"AJ Finch",1
"SS Iyer",1
"CJ Anderson",1
"Yuvraj Singh",1
"SPD Smith",1
"AS Rajpoot",1
"PA Patel",1
"S Badrinath",1
"MS Dhoni",1
"Y Venugopal Rao",1
"FH Edwards",1
"DB Ravi Teja",1
